Language/Topic,Name,Course/Project,Link,University/Company/YouTube Page,Ratings,Level,Reviews,Enrolled Students,Payment,Views,Platform
AI,IBM Applied AI,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,IBM,4.6,Beginner,25742,NA,p,NA,Coursera
Deep Learning,SRE and DevOps Engineer with Google Cloud,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,Google Cloud,4.7,Beginner,38880,NA,p,NA,Coursera
Deep Learning,,COURSE,https://www.coursera.org/learn/deep-learning-business,Yonsei University,4.4,Beginner,522,NA,p,NA,Coursera
Deep Learning,Deep Learning Full Course - Learn Deep Learning in 6 Hours | Deep Learning Tutorial�,PLAYLIST,https://www.youtube.com/watch?v=DooxDIRAkPA,edureka!,NA,NA,NA,NA,u,220k,YouTube
Deep Learning,Deep Learning -Course Introduction,PLAYLIST,https://www.youtube.com/watch?v=aPfkYu_qiF4&list=PLyqSpQzTE6M9gCgajvQbc68Hk_JKGBAYT,NPTEL-NOC IITM,NA,NA,NA,NA,u,123k,YouTube
ML,Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial�,PLAYLIST,https://www.youtube.com/watch?v=GwIo3gDZCVQ,edureka!,NA,NA,NA,NA,u,943k,YouTube
ML,Machine Learning Basics | What Is Machine Learning? | Introduction To Machine Learning�,PLAYLIST,https://www.youtube.com/watch?v=ukzFI9rgwfU,Simplilearn,NA,NA,NA,NA,u,1.5M,YouTube
ML,The燬pectator,BLOGS,http://blog.shakirm.com/,Shakir's Machine Learning Blog,NA,NA,NA,NA,u,NA,blog.shakirm
ML,Blog - Machine Learning Mastery,BLOGS,https://machinelearningmastery.com/blog/,NA,NA,NA,NA,NA,u,NA,machinelearningmastery
AI,Machine Learning Blog,BLOGS,https://docs.microsoft.com/en-us/archive/blogs/machinelearning/,Microsoft,NA,NA,NA,NA,u,NA,Microsoft docs
AI,Google AI Blog,BLOGS,https://ai.googleblog.com/,Google AI,NA,NA,NA,NA,u,NA,ai.googleblog
AI,Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners,PLAYLIST,https://www.youtube.com/watch?v=JMUxmLyrhSk,edureka!,NA,NA,NA,NA,u,1.2M,YouTube
AI,What is Artificial Intelligence Exactly?,PLAYLIST,https://www.youtube.com/watch?v=kWmX3pd1f10,ColdFusion,NA,NA,NA,NA,u,1.6M,YouTube
AI,AI For Everyone,COURSE,https://www.coursera.org/learn/ai-for-everyone,DeepLearning.AI,4.8,NA,28080,NA,p,NA,Coursera
AI,IBM Applied AI,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,IBM,4.6,NA,25742,NA,p,NA,Coursera
ML,Machine Learning,COURSE,https://www.coursera.org/learn/machine-learning,Stanford University,4.9,NA,149806,NA,p,NA,Coursera
DeepLearning,Deep Learning,SPECIALIZATION,https://www.coursera.org/specializations/deep-learning,DeepLearning.AI,4.8,NA,111950,NA,p,NA,Coursera
AI,Introduction to Artificial Intelligence (AI),COURSE,https://www.coursera.org/learn/introduction-to-ai,IBM,4.7,NA,6159,NA,p,NA,Coursera
AI,AI Foundations for Everyone,SPECIALIZATION,https://www.coursera.org/specializations/ai-foundations-for-everyone,IBM,4.7,NA,7520,NA,p,NA,Coursera
ML,Machine Learning,SPECIALIZATION,https://www.coursera.org/specializations/machine-learning,University of Washington,4.6,NA,14012,NA,p,NA,Coursera
ML,Mathematics for Machine Learning,SPECIALIZATION,https://www.coursera.org/specializations/mathematics-machine-learning,Imperial College London,4.6,NA,9678,NA,p,NA,Coursera
DeepLearning,DeepLearning.AI TensorFlow Developer,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/tensorflow-in-practice,DeepLearning.AI,4.7,NA,15949,NA,p,NA,Coursera
ML,Advanced Machine Learning,SPECIALIZATIONS,https://www.coursera.org/specializations/aml,National Research University Higher School of Economics,4.5,NA,3514,NA,p,NA,Coursera
AI,IBM Data Science,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/ibm-data-science,IBM,4.6,NA,64437,NA,p,NA,Coursera
AI,IBM AI Engineering,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/ai-engineer,IBM,4.6,NA,10990,NA,p,NA,Coursera
ML,Machine Learning for All,COURSE,https://www.coursera.org/learn/uol-machine-learning-for-all,University of London,4.7,NA,2097,NA,p,NA,Coursera
AI,Reinforcement Learning,SPECIALIZATION,https://www.coursera.org/specializations/reinforcement-learning,University of Alberta,4.7,NA,1868,NA,p,NA,Coursera
AI,Mind and Machine,SPECIALIZATION,https://www.coursera.org/specializations/mind-machine,University of Colorado Boulder,4.5,NA,138,NA,p,NA,Coursera
AI,AI for Medicine,SPECIALIZATION,https://www.coursera.org/specializations/ai-for-medicine,DeepLearning.AI,4.7,NA,1403,NA,p,NA,Coursera
